latitude,stop_id,longitude,stop_name
46.037391581951,2099,14.4632149619944,DOLGI MOST P+R
46.0328155047582,3517,14.4621179000234,Zgornji log
46.0322523918234,3515,14.4651811551423,Cesta v Gorice
46.0300779457793,3103,14.472651640192,MESTNI LOG
46.0337352434663,3511,14.4781438446922,Tbilisijska
46.0353959724272,1961,14.4845342445523,Koprska
46.0365812948747,1959,14.4897181962958,Krimska
46.0407648558072,1957,14.4900057577242,Gerbičeva
46.0437795777789,1955,14.4886758245036,Jadranska
46.045525262675,1953,14.4904055379179,Hajdrihova
46.0469033031607,1951,14.4944646192484,Tobačna
46.0466149021947,1949,14.498692577197,Aškerčeva
46.0489598659593,1947,14.5023260218633,Drama
46.052064807962,1945,14.5035070930001,Pošta
46.0538548553607,4455,14.5044000768287,Ajdovščina
46.0563512087656,1943,14.5019390996907,Gosposvetska
46.0600747882683,1941,14.4979610166072,Tivoli
46.0650025718064,1939,14.4942089544609,Stara cerkev
46.069271,1937,14.49028,Kino Šiška
46.0743539437374,1935,14.4855071825561,Remiza
46.0773180697392,1933,14.4824498264085,Avtomontaža
46.0798333635307,1931,14.4807016995688,Kompas
46.0835599023968,1928,14.4783480068958,Dravlje
46.0871662820164,1927,14.4746134585934,Trata
46.0907175876449,1925,14.4713579672898,Prušnikova
46.0935450967278,1923,14.4691406660577,Podgora
46.0966915278023,1921,14.4653547563056,Šentvid
46.1002405905451,1919,14.4580792268338,VIŽMARJE
46.095469885169,1920,14.4663668666688,Šentvid
46.0925702680057,1922,14.4692993577114,Podgora
46.089910023321,1924,14.4716311635353,Prušnikova
46.0870811635291,1926,14.4740952834977,Trata
46.0835784412999,1929,14.4776295445231,Dravlje
46.0797182553747,1930,14.4802981654157,Kompas
46.0769346799793,1932,14.4822732496708,Avtomontaža
46.0729871704143,1934,14.4863817754814,Slovenija avto
46.069726,1936,14.489376,Kino Šiška
46.0640674962697,1938,14.4943382197834,Stara cerkev
46.0603002787038,1940,14.4973438354549,Tivoli
46.0547112836872,1942,14.50390213335,Gosposvetska
46.0535390082324,3330,14.5039868517979,Ajdovščina
46.0512362310992,1944,14.5028208626036,Konzorcij
46.0488142650673,1946,14.5017333205319,Drama
46.0466733978688,1948,14.4993791192346,Aškerčeva
46.0470755662802,1950,14.4935786010422,Tobačna
46.0458430605145,1952,14.489879993166,Hajdrihova
46.0422488747526,1954,14.4892784678837,Jadranska
46.0403670659872,1956,14.4898329587134,Gerbičeva
46.0366909125103,1958,14.4892577226481,Krimska
46.0352461611615,3509,14.4832452268611,Koprska
46.0339792531908,3510,14.4782336762206,Tbilisijska
46.0302531440262,4445,14.4719509542704,Mestni log
46.0324338399552,3514,14.4649206437099,Cesta v Gorice
46.0329030995846,3516,14.4624143440672,Zgornji log
46.0561009080242,1976,14.5051456871461,Bavarski dvor
46.063581,1963,14.529347,ZELENA JAMA
46.065626401728,1964,14.5292756102799,Pokopališka
46.0669620118359,1966,14.5272767513117,Žale
46.0626691785687,1968,14.5243578154065,Savsko naselje
46.05941,1970,14.52062,Viadukt
46.057442524105,1972,14.5183160715773,Friškovec
46.0577343087827,1974,14.5094296324936,Kolodvor
46.0695989381466,2008,14.5512191149212,NOVE JARŠE
46.0703746047442,3471,14.5484280325217,Nove Jarše
46.0699275349816,2005,14.5452580430306,Žito
46.0692253015597,2003,14.5399354977784,Kodrova
46.0684510441875,2001,14.5366875508196,Jarše
46.0667535149744,1999,14.533173796629,Šola Jarše
46.0633347305643,1997,14.5320453199363,Rožičeva
46.0639666638168,1995,14.5364808386361,Kavčičeva
46.060729764712,1993,14.5394172706079,Tovorni kolodvor
46.0561411194173,1991,14.5395127552736,Zaloška
46.0558777600207,1989,14.5344568660752,Tržnica Moste
46.0543085654282,1987,14.5282085175713,Bolnica
46.0524267760194,1985,14.5205554330943,Klinični center
46.0495728420941,3335,14.5172493587762,Ambrožev trg
46.0505552898975,1983,14.5147725070593,Poljanska
46.0502050925444,3312,14.5104436548026,Krekov trg
46.0459373831064,2014,14.5063616966418,Gornji trg
46.0462959189535,2012,14.5016451401323,Križanke
46.0562502760306,1977,14.505488014758,Bavarski dvor
46.0574747093719,1975,14.5109627482171,Kolodvor
46.0574878665168,1973,14.5167482582541,Friškovec
46.059471046818,1971,14.5211296660527,Viadukt
46.0627649957494,1969,14.524853932852,Savsko naselje
46.066898944631,1967,14.5276637870277,Žale
46.0656090130998,1965,14.5290011802691,Pokopališka
46.0459610063461,2013,14.5021824108121,Križanke
46.0457408698752,2015,14.5064869358443,Gornji trg
46.0505445674127,3313,14.5107649777746,Krekov trg
46.0500317413051,1984,14.5156647031503,Poljanska
46.0495752574493,3334,14.5168919025372,Ambrožev trg
46.0494182535155,3717,14.5197080563576,Roška
46.0523047836622,1986,14.5209650400139,Klinični center
46.0542549933401,1988,14.5289485995372,Bolnica
46.0554975381072,1990,14.5339650999744,Tržnica Moste
46.0567921339455,1992,14.5406648756758,Kajuhova
46.0614408098368,1994,14.5391211009896,Tovorni kolodvor
46.0640695390938,1996,14.535905113622,Kavčičeva
46.0633447391051,1998,14.5317005640753,Rožičeva
46.0671498839754,2000,14.5345499734436,Šola Jarše
46.0687318055859,2002,14.5387445215647,Jarše
46.0691507508133,2004,14.5414942639509,Kodrova
46.0698226895654,2006,14.5467393442049,Žito
46.0826421091,3640,14.497189982638,LITOSTROJ
46.0803964420806,3642,14.4913580625216,Kovinarska
46.0767783216972,1906,14.4884700644529,Litostrojska
46.0436871390557,2017,14.5116395329957,Privoz
46.0386440849511,2019,14.5176450608338,Strelišče
