group_name,int_id,id,length,parent_name,route_name,route_parent_id,opposite_route_int_id
65,1365,9755e39f-9fd8-407e-8c0b-d0484da4d610,3376.5087820377757,D PODPEČ/DOBREPOLJE-DOBREPOLJE OŠ,DOBREPOLJE OŠ,abac6a13-03bf-4d7c-a8fb-fc3f48595d8a,
65,1366,f15f8cc2-bf9a-41d1-8fdb-32afd96beff5,4739.599665406486,E ZAGORICA/DOBREPOLJU-DOBREPOLJE OŠ,DOBREPOLJE OŠ,139db5f1-7c7e-4ab6-a3a8-226faa8755b2,
65,1367,12db7e5d-72a1-4108-85c3-030260c2042c,8757.098406646963,F PONIKVE-PREDSTRUGE-DOBREPOLJE OŠ,DOBREPOLJE OŠ,8ede1bbe-3982-4499-9ef8-afae5a719ded,
57,1368,dedd9e1a-ea96-4721-9872-cea2656fb9f5,16037.458386792756,A VRH.JAZON-SINJA G.OPEK.-BISTRA-OŠ IC,OŠ IVANA CANKARJA,4d7e9aa4-8b4c-464c-b586-69067b5426a3,
20,1369,f854b819-e140-48ef-9d0b-9241b3191945,9074.8645164128,FUŽINE P+R - GARAŽA,GARAŽA;  osnovna,9c4765fa-b129-426d-8444-3e086a79d252,
20,1370,388f83cf-9d2f-4fcf-a0e5-ae34bded242a,9339.192863572394,FUŽINE P+R - NOVE STOŽICE P+R,N. STOŽICE P+R;  osnovna,567801d4-0769-430b-92c4-99edcf5e29ab,1371
20,1371,1fa78300-9bbe-4836-85f3-37407bd37fdc,9443.447712855634,NOVE STOŽICE P+R - FUŽINE P+R,FUŽINE P+R; osnovna,5016088b-2d61-4123-a2c2-132d082112aa,1370
20,1372,7b5071bf-7f91-47ef-83a6-e331db2b34e6,15315.004994421382,Z NOVE STOŽICE P+R - ZALOG,Z ZALOG; osnovna,cebd4511-46f6-4ca4-9fdc-e230be1a2e7b,1373
20,1373,f6e62b28-73c0-47a0-a542-15e2cbedcbda,15307.566702207925,Z ZALOG - NOVE STOŽICE P+R,Z N. STOŽICE P+R; osnovna,8c074789-0a87-4016-874a-a5aeb591c6af,1372
20,1374,005aa87b-d2d8-4260-b81a-6f84dbfd31d8,15029.851424132641,Z ZALOG - GARAŽA,GARAŽA: osnovna,68393b98-c749-4da4-9a89-1ffef76c08de,
76,1375,a686d36e-3fe8-4f7b-9ad0-cc4f99ffad98,30982.20379109842,AMB. - BAK. - AMB. - IV.GOR. Š.C-STIČNA,ŠENTVID PRI STIČNI,89923c99-57d5-4a26-ae47-ed8df9fc08f8,
65,1380,44cbced3-3daf-4106-a046-93f2818d7af1,6706.828129303243,G TISOVEC/STRUGAH-ČETEŽ-POTI.-STR.OŠ,STRUGE OŠ,4819a3e4-bc03-4912-a63a-af78793b7683,
65,1381,d9feac28-90b4-44bd-96a2-5e942f64e2dc,5460.430852137,H STRUGE OŠ RAPLJEVO-PODTABOR-STRUGE OŠ,STRUGE OŠ,c2548a75-2307-49cc-8687-d2d98bb8d7c9,
74A,1382,734e4e91-ece0-495b-90e6-1d8a369c2a37,9856.451139225122,ŠMARJE SAP - PEROVO - GROSUPLJE,GROSUPLJE AP,a1411175-899d-4688-8126-71d432cc0d4f,
18,1386,6bd5123b-730a-4d43-8ba3-fcb8d3aed1e8,16137.838077177415,KOLODVOR - CENTER STOŽICE P+R,C. STOŽICE P+R;  osnovna,bc2e779f-fdaa-40e2-bef2-40c35cf47eab,1387
18,1387,5270a932-70d5-4b6b-9ee7-eca37a29a322,15642.67853424297,CENTER STOŽICE P+R - KOLODVOR,KOLODVOR;  osnovna,be15fb79-85ac-48ac-9099-091b0eb766df,1386
28,1391,120a1588-e8b7-4d97-b51f-8946e756dea4,17845.055455676644,KAJUHOVA - MALI LIPOGLAV,MALI LIPOGLAV,cc132b39-1920-4d55-8308-f44761d9417e,1392
28,1392,eaca8ab3-678d-40e8-b2ab-17f88637de1f,17059.62356053945,MALI LIPOGLAV - KAJUHOVA,KAJUHOVA,15cd865e-ea40-48d7-a9a4-7faa31552616,1391
28,1393,e7d185c0-ab86-47b8-a1ad-c87410bbdb2b,5974.197400026692,KAJUHOVA - GARAŽA,GARAŽA,fae52642-2caa-4340-85b4-22e9b99687b3,
28,1394,4c6092d7-747b-432d-9f13-af763d056f29,12286.428701864206,GARAŽA - KAJUHOVA,KAJUHOVA,425def1b-7e27-4b00-8e12-824e8818e4c8,
29,1395,bc39e471-6e35-4093-b848-a0713844f6f7,27956.64872862324,KAJUHOVA - TUJI GRM,TUJI GRM,58246964-ebf8-416c-bce6-ab0cf08ea275,1396
29,1396,dad1e414-3b0f-4479-8103-7d98edfe2396,27923.991622411424,TUJI GRM - KAJUHOVA,KAJUHOVA,1452ab65-843a-4d3e-84ec-39ea423ccfc3,1395
29,1397,f6a1f36f-440c-4654-9f2b-d3fae9efbb96,5973.777280134943,KAJUHOVA - GARAŽA,GARAŽA,88ca56d2-1609-4261-82c5-b0ffb750f2d8,
29,1398,34b764c5-76ba-4c40-8b11-c46e2ee59dfe,12273.889553154686,GARAŽA - KAJUHOVA,KAJUHOVA,afba5b1d-018a-4086-82cd-b43ec7e24009,
68,1400,e71ac4ed-aa68-40f6-89e9-2bbf26f61afe,40048.634123835895,ŠENTVID PRI STIČNI- Škofljica- LJUBLJANA,Šmarje-SAP,1e16b862-7433-40a1-babb-ad83a1ebd11a,
68,1401,2719c5a8-0513-4c05-a6a4-c144a9a3f1e5,39524.92862123572,LJUBLJANA-Škofljica- ŠENTVID PRI STIČNI,Šmarje sap,f34723e1-cbb7-49e5-a002-6f16286c1957,
69,1402,a0aff7ce-a2fe-49c0-bfa7-191845ceb390,49925.6984367392,TEMENICA-ŠENT. PRI STIČNI-ŠK.-LJUBLJANA,Šmarje sap,adee3e6e-b66b-4ae5-a6cf-ac1c533c59ba,
69,1403,2ddd2b61-8c69-46d1-bc79-9ee6f584e438,48844.580353946076,LJUBLJANA - ŠK.-STIČNA-TEMENICA,Šmarje sap,8bd3b867-0aab-482a-b21e-8e89f94c3245,
40,1404,d9789f13-35c6-46ec-a68f-d2341943f856,8663.93088571448,Strahomer - Iška Loka - Ig,Ig,da51ccac-b9cb-4dfd-8f1d-bfffa4f0ca4d,
40,1405,cb78d4c4-87f6-4622-88be-820d14a81a63,8815.50169128426,Ig-Iška Loka-Strahomer,Strahomer,174b5fde-58bf-41c7-b42a-53b104a9849c,
